الاسم,rating,total_ratings,img,السعر النهائي,Brand,Gender,Product Type,Character,Fragrance Family,Size,Year of Launch,Concentration,Top Notes,Middle Notes,Base Notes,Category,Ingredients,Product Color,Preferences,Makeup Type,Search Key
Atelier Cologne Grand Neroli,"<h4 data-v-de649438="""">0</h4>","<span data-v-de649438="""">0 Ratings</span>",//assets.goldenscent.com/catalog/product/g/o/golden_scent_perfume_atelier_cologne_perfumes_grand_neroli_edp_100_ml_for_3700591202032.jpg,864.0,Atelier Cologne,Unisex,Perfume,Charismatic,Aromatic,200 ml,2010,Eau de Parfum,"Neroli, Lemon, Bergamot & Petit Grain","Galbanum, Moss & Birch Leaf","Musk, White Amber & Vanilla",,"Neroli, Lemon, Bergamot & Petit Grain, Galbanum, Moss & Birch Leaf , Musk, White Amber & Vanilla",Gold,,,
Afnan Supremacy Silver,"<h4 data-v-de649438="""">5.0</h4>","<span data-v-de649438="""">4 Ratings</span>",//assets.goldenscent.com/catalog/product/cache/1/small_image/750x750/9df78eab33525d08d6e5fb8d27136e95/6/2/6290171000976-afnan-afnan-supremacy-silver-_m_-edp-100-ml-1.jpg,150.0,Afnan,Men,Perfume,Extravagant,Fruity,100 ml,,Eau de Parfum,"Apple, Bergamot, Black Currant, Pineapple","Rose, Birch, Moroccan Jasmine, Patchouli","Oakmoss, Musk, Ambergris, Vanilla",,"Apple, Bergamot, Black Currant, Pineapple, Rose, Birch, Moroccan Jasmine, Patchouli, Oakmoss, Musk, Ambergris, Vanilla",,,,
Yves Saint Laurent Black Opium,"<h4 data-v-de649438="""">4.9</h4>","<span data-v-de649438="""">500 Ratings</span>",//assets.goldenscent.com/catalog/product/cache/1/small_image/750x750/9df78eab33525d08d6e5fb8d27136e95/y/v/yves_saint_laurant_black_opium.jpg,482.0,Yves Saint Laurent,Women,Perfume,,Floral Oriental,30 ml,,Eau de Parfum,,,,,"Vanilla , Patchouli , Cedar , Wood , Coffee ,  Jasmine ,  Almond , Pink Pepper",,,,
"Juicy Couture Peace, Love & Juicy Couture","<h4 data-v-de649438="""">4.7</h4>","<span data-v-de649438="""">6 Ratings</span>",//assets.goldenscent.com/catalog/product/j/u/juicy_couture_peace_love.jpg,306.0,Juicy Couture,Women,Perfume,,,50 ml,,Eau de Parfum,,,,Perfume,"lemon, apple, hyacinth, blackcurrant, lemon, apple, hyacinth, blackcurrant, musk, iris, patchouli",,,,
Dior Eau Sauvage EDT,"<h4 data-v-de649438="""">0</h4>","<span data-v-de649438="""">0 Ratings</span>",//assets.goldenscent.com/catalog/product/cache/1/small_image/750x750/9df78eab33525d08d6e5fb8d27136e95/3/3/3348900627482_christian_dior_eau_sauvage_edt_200_ml_01.png,575.0,Dior,Men,Perfume,,,100 ml,,Eau de Toilette,,,,,"Rosemary, Lemon, Citrus, Basil",,,,
Moschino Cheap And Chic,"<h4 data-v-de649438="""">4.8</h4>","<span data-v-de649438="""">6 Ratings</span>",//assets.goldenscent.com/catalog/product/g/o/golden_scent_perfume_moschino_perfumes_cheap_and_chic_for_women_eau_de_toilette.jpg,252.0,Moschino,Women,Perfume,Masculine,Woody,100 ml,2014,Eau de Toilette,"Bergamot, Petitgrain, Brazilian Rosewood","Cyclamen, Rose, Water Lily, Peony, Violet, Jasmine","Musk, Vanilla, Tonka Bean, Orchid, Sandalwood, Vetiver, Iris, Ambergris",,"Bergamot, Petitgrain, Brazilian Rosewood,Cyclamen, Rose, Water Lily, Peony, Violet, Jasmine,Musk, Vanilla, Tonka Bean, Orchid, Sandalwood, Vetiver, Iris, Ambergris","Black,Red",,,
‪Art Landi Porfumi Art 09 ‬Karo Karounde‪,"<h4 data-v-de649438="""">0</h4>","<span data-v-de649438="""">0 Ratings</span>",//assets.goldenscent.com/catalog/product/7/4/748810883177__art_landi_porfumi_art_09__karo_karounde__porfumi_50_ml-en.jpg,833.0,‪Art Landi Porfumi,Unisex,Perfume,Extravagant,Fruity,50 ml,2017,Eau de Parfum,"Pineapple, strawberry, black currant, peach, coconut, cocoa buds, cinnamon","Caro-carround, tuberose, jasmine, osmanthus, narcissus, orchid, ylang-ylang, orange buds, lily of the valley, pink blossom, hiltrop, rose","Vanilla, tonka, musk, ambergris, sandalwood, patchouli, vetiver, frankincense",,"Pineapple, strawberry, black currant, peach, coconut, cocoa buds, cinnamon, caro-carround, tuberose, jasmine, osmanthus, narcissus, orchid, ylang ylang, orange buds, lily of the valley, clove bloom, hiltrop, rose, vanilla, tonka Musk, ambergris, sandalwoo",,,,
Ajmal Incense Wood EDP,"<h4 data-v-de649438="""">5.0</h4>","<span data-v-de649438="""">1 Ratings</span>",//assets.goldenscent.com/catalog/product/6/2/6293708012220-ajmal-ajmal-incense-wood-_u_-edp-100-ml.png,575.0,Ajmal,Unisex,Perfume,Natural,"Woody,Woody",100 ml,2019,Eau de Parfum,Fresh spices,"Incense, Woods","Woods, Amber",,,,,,
Alrawnaq Perfumes Sultana EDP,"<h4 data-v-de649438="""">0</h4>","<span data-v-de649438="""">0 Ratings</span>",//assets.goldenscent.com/catalog/product/cache/1/small_image/750x750/9df78eab33525d08d6e5fb8d27136e95/6/4/64120410009_-_-_sultana_-_80_ml_-_fd.png,345.0,Alrawnaq Perfumes,Women,Perfume,Charismatic,Oriental,80 ml,,Eau de Parfum,Honey,"Honey, Saffron","Honey, Saffron",,,,,,
Le Couvent Maison de Parfum Aqua Imperi EDT,"<h4 data-v-de649438="""">0</h4>","<span data-v-de649438="""">0 Ratings</span>",//assets.goldenscent.com/catalog/product/3/7/3701139903077-le-couvent-le-couvent-des-minimes-aqua-imperi-_u_-edt-100-ml.png,343.0,Le Couvent Maison de Parfum,Unisex,Perfume,Dynamic,Citrus,100 ml,2019,Eau de Toilette,,,,,"Myrtle, Citrus, Lavender",,,,
Oscar de la Renta Bella Rosa,"<h4 data-v-de649438="""">4.8</h4>","<span data-v-de649438="""">19 Ratings</span>",//assets.goldenscent.com/catalog/product/cache/1/small_image/750x750/9df78eab33525d08d6e5fb8d27136e95/8/5/85715564207_oscar_de_la_renta_bella_rosa_edp_100_ml85715564207_oscar_de_la_renta_bella_rosa_edp_100_ml_1.jpg,356.0,Oscar De La Renta,Women,Perfume,Romantic,Floral,100 ml,2019,Eau de Parfum,"Pink Pepper, Freesia, Mandarin","Rose, Jasmine, Orris","Patchouli, Sandalwood, Amber",,"Pink Pepper, Freesia, Mandarin, Rose, Jasmine, Orris, Patchouli, Sandalwood, Amber",,,,
Police Icon Platinum,"<h4 data-v-de649438="""">4.6</h4>","<span data-v-de649438="""">12 Ratings</span>",//assets.goldenscent.com/catalog/product/6/7/679602183116_police_police_icon_platinium_fm_edp_125ml_spray_1.jpg,150.0,Police,Men,Perfume,Sophisticated,Woody Oriental,125 ml,,Eau de Parfum,"bergamot, grapefruit, black pepper","geranium, marine accord, cedarwood","patchouli, amber, tonka",,"bergamot, grapefruit, black pepper, geranium, marine accord, cedarwood, patchouli, amber, tonka",,,,
Atelier Cologne Pomelo Paradis EDC,"<h4 data-v-de649438="""">0</h4>","<span data-v-de649438="""">0 Ratings</span>",//assets.goldenscent.com/catalog/product/3/7/3700591216039-atelier-cologne-atelier-cologne-pomelo-paradis-cologne-absolue-pure-perfume-_u_-edc-100-ml-1.png,919.0,Atelier Cologne,Unisex,Perfume,Dynamic,Citrus,100 ml,2015,Eau de Cologne,"Pink Grapefruit, Mandarin Calabrian, Blackcurrant","Orange Blossom, Mint, Bulgarian Rose","Vetiver, Amber, Iris.",,"Pink Grapefruit, Mandarin Calabrian, Blackcurrant, Orange Blossom, Mint, Bulgarian Rose, Vetiver, Amber, Iris.",,,,
Vilhelm Parfumerie London Funk EDP,"<h4 data-v-de649438="""">0</h4>","<span data-v-de649438="""">0 Ratings</span>",//assets.goldenscent.com/catalog/product/cache/1/small_image/750x750/9df78eab33525d08d6e5fb8d27136e95/3/7/3760298540516-vilhelm-parfumerie-vilhelm-parfumerie-london-funk-_u_-edp-50-ml.png,975.0,Vilhelm Parfumerie,Unisex,Perfume,Natural,Woody,100 ml,2021,Eau de Parfum,"Pine, Basil, Cardamom, Bergamot","Blackcurrant buds, Driftwood","Vetiver, Mate, Cedar, Amber, Sandalwood",,"Alcoholdenat, Parfum (Fragrance), Aqua (Water), Alpha-Isomethyl Ionone, Cinnamyl Alcohol, Citral, Citronellol, Eugenol, Geraniol, Hydroxycitronellal, Limonene, Linalool.",,,,
S.T. Dupont Exceptional EDP,"<h4 data-v-de649438="""">0</h4>","<span data-v-de649438="""">0 Ratings</span>",//assets.goldenscent.com/catalog/product/3/3/3386460134712-s.t.-dupont-s.t.-dupont-exceptional-for-men---eau-de-parfum-100ml.png,262.0,S.T. Dupont,Men,Perfume,Classical,Leather,100 ml,2017,Eau de Parfum,"Grapefruit, Bergamot, Ginger","Tonka bean, Leather, Orris","Patchouli, Vetiver, Amber",,,,,,
Pierra Katra Frank EDP,"<h4 data-v-de649438="""">0</h4>","<span data-v-de649438="""">0 Ratings</span>",//assets.goldenscent.com/catalog/product/cache/1/small_image/750x750/9df78eab33525d08d6e5fb8d27136e95/6/2/6295463455540-pierra-katra-frank-for-unisex-by-pierra-katra-eau-de-parfum---80ml.png,88.0,Pierra Katra,Unisex,Perfume,Dynamic,Citrus,80 ml,,Eau de Parfum,"Nutmeg, Cinnamon","Cypriol, Frankincense","Black Musk, Oud, Saffron",,,,,,
The Different Company Limon De Cordoza EDT,"<h4 data-v-de649438="""">0</h4>","<span data-v-de649438="""">0 Ratings</span>",//assets.goldenscent.com/catalog/product/3/7/3760033635446-the-different-company-tdc-limon-de-cordoza-100-ml-edt.png,596.0,The Different Company,Unisex,Perfume,Dynamic,Citrus,100 ml,2012,Eau de Toilette,"Bitter Orange, Mandarin, Mint, White Neroli","Freesia, Patchouli leaf","Vetiver, Jackfruit",,"Bitter Orange, Mandarin, Mint, White Neroli, Freesia, Patchouli Leaf, Vetiver, Galaxwood",,,,
Arabian Oud Arabian Code,"<h4 data-v-de649438="""">5.0</h4>","<span data-v-de649438="""">17 Ratings</span>",//assets.goldenscent.com/catalog/product/cache/1/small_image/750x750/9df78eab33525d08d6e5fb8d27136e95/6/2/6281101821440_arabian_oud_arabian_code_90_ml_90_ml_1.jpg,158.0,Arabian Oud,Men,Perfume,Romantic,Floral,90 ml,,Eau de Parfum,Lotus,Jasmine,"Musk, Sandalwood",,"Lotus, Jasmine, Musk, Sandalwood",,,,
Al Hatoun 1994 Spices Bomb Parfum,"<h4 data-v-de649438="""">0</h4>","<span data-v-de649438="""">0 Ratings</span>",//assets.goldenscent.com/catalog/product/cache/1/small_image/750x750/9df78eab33525d08d6e5fb8d27136e95/6/2/6287012117573_-_al_hatoun_1994_1994_-_spices_bomb_-_-_75_ml.png,450.0,Al Hatoun 1994,Unisex,Perfume,Charismatic,Oriental,75 ml,,Parfum,,,,,"Cinnamon, Black Pepper, Clove",,,,
Lancôme La Nuit Tresor Musc Diamant,"<h4 data-v-de649438="""">4.7</h4>","<span data-v-de649438="""">6 Ratings</span>",//assets.goldenscent.com/catalog/product/cache/1/small_image/750x750/9df78eab33525d08d6e5fb8d27136e95/3/6/3614272537514_lancome_la_nuit_tresor_musc_diamant_edp_75_ml_1.jpg,644.0,Lancome,Women,Perfume,Modern,Floral Oriental,75 ml,2019,Eau de Parfum,"Raspberry, Violet leaf, White Musk","Damask Rose, Freesia, Jasmine Petals, White Musk","White Musk, Sandalwood, almond, patchouli, vanilla",,"Raspberry, Violet leaf, White Musk, Damask Rose, Freesia, Jasmine Petals, Sandalwood, almond, patchouli, vanilla",,,,
Thierry Mugler Aura Mugler - 30 ml,"<h4 data-v-de649438="""">0</h4>","<span data-v-de649438="""">0 Ratings</span>",//assets.goldenscent.com/catalog/product/3/4/3439600018424-thierry-mugler-thierry-mugler-aura-mugler-_w_-edp-30-ml.png,299.0,Thierry Mugler,Women,Perfume,Glamorous,Floral,30 ml,,Eau de Parfum,,,,,"Rhubarb leaf, Tiger liana, Orange blossom, Bourbon vanilla, Wolfwood",,,,
Maryaj Ramona EDP,"<h4 data-v-de649438="""">0</h4>","<span data-v-de649438="""">0 Ratings</span>",//assets.goldenscent.com/catalog/product/6/2/6293725015174-maryaj-ramona-eau-de-parfum-for-women_-100-ml.png,40.0,Maryaj,Women,Perfume,Extravagant,Fruity,100 ml,,Eau de Parfum,"Bergamot, Red Fruits, Apples","Tuberose, Muguet","Amber, Sandalwood, Tonka Bean",,,,,,
Franck Boclet Ozone EDP,"<h4 data-v-de649438="""">0</h4>","<span data-v-de649438="""">0 Ratings</span>",//assets.goldenscent.com/catalog/product/3/5/3575070044553_-_franck_boclet_-_franck_boclet_fragrance_collection_ozone_unisex_eau_de_parfum_100ml_-_100_ml_-_fd.png,790.0,Franck Boclet,Unisex,Perfume,Modern,Aquatic,100 ml,2016,Eau de Parfum,"Salt, Water Spray",Minerals,"Tobacco, Cedarwood, Leather",,,,,,
Jad Ruman Pomegranate History of Arabia EDP,"<h4 data-v-de649438="""">0</h4>","<span data-v-de649438="""">0 Ratings</span>",//assets.goldenscent.com/catalog/product/6/2/6281184005911-jad-jad-ruman-pomegranate-history-of-arabia-edp.png,249.0,Jad,Unisex,Perfume,Extravagant,Fruity,100 ml,,Eau de Parfum,,,,,Pomegranate,,,,
Asrar Oud Trend EDP,"<h4 data-v-de649438="""">0</h4>","<span data-v-de649438="""">0 Ratings</span>",//assets.goldenscent.com/catalog/product/6/2/6291106785500-asrar-oud-_.png,213.0,Asrar Oud,Men,Perfume,,,100 ml,,Eau de Parfum,,,,,جوزة الطيب، البرغموت، لافاندين، المسك، العنبر الجاف، توت العليق كوليس,,,,
Tiffany & Co Love For Him EDT,"<h4 data-v-de649438="""">0</h4>","<span data-v-de649438="""">0 Ratings</span>",//assets.goldenscent.com/catalog/product/cache/1/small_image/750x750/9df78eab33525d08d6e5fb8d27136e95/3/6/3614227728820-tiffany-_-co.-tiffany-_-co.-love-for-her-edt-50-ml-for-men.png,652.0,Tiffany & Co,Men,Perfume,Natural,"Woody,Woody",90 ml,2019,Eau de Toilette,"Basil, Grapefruit",Neroli,"Sequoia, Vetiver, Cedar",,,,,,
Guerlain Jasmin Bonheur EDP,"<h4 data-v-de649438="""">5.0</h4>","<span data-v-de649438="""">2 Ratings</span>",//assets.goldenscent.com/catalog/product/cache/1/small_image/750x750/9df78eab33525d08d6e5fb8d27136e95/2/1/21gs100892-guerlain-jasmin-bonheur---eau-de-parfum-100ml.png,2046.0,Guerlain,Unisex,Perfume,Sensual,Floral,100 ml,2022,Eau de Parfum,"Bergamot, Apricot","Rose, Orange Blossom, Jasmine",Iris,,,,,,
The Oud Ghost Oud EDP,"<h4 data-v-de649438="""">0</h4>","<span data-v-de649438="""">0 Ratings</span>",//assets.goldenscent.com/catalog/product/cache/1/small_image/750x750/9df78eab33525d08d6e5fb8d27136e95/6/2/6285592001565-2_-_the_oud_-___ghost_oud_-_100_ml-fd.png,320.0,The Oud,Unisex,Perfume,Glamorous,Oud,100 ml,,Eau de Parfum,"Raspberry, Jasmine, Violet","Oud, Leather, Sage","Patchouli, Musk",,,,,,
Profumo di Pantelleria Passum EDP,"<h4 data-v-de649438="""">5.0</h4>","<span data-v-de649438="""">1 Ratings</span>",//assets.goldenscent.com/catalog/product/8/0/8059973951040-profumo-pantelleria-profumo-passum-edp-100ml.png,828.0,Profumo di Pantelleria,Unisex,Perfume,Classical,Leather,100 ml,2012,Eau de Parfum,"Myrrh, Hazelnut, Incense","iris, Sandalwood, Patchouli","Leather, White Musk, Labdanum",,"Myrrh, Hazelnut, Incense, Iris, Sandalwood, Patchouli, Leather, White Musk, Labdanum",,,,
Manoush Bohemian Rose EDT,"<h4 data-v-de649438="""">0</h4>","<span data-v-de649438="""">0 Ratings</span>",//assets.goldenscent.com/catalog/product/3/7/3760048797115-manoush-manoush-bohemain-rose-edt-100ml-hair-_-body-sp.png,194.0,Manoush,Women,Perfume,Romantic,Floral,30 ml,2021,Eau de Toilette,"Mandarin, Bergamot, Rhubarb, Watery notes","Peach, Jasmine, Rose","Patchouli, Musk",,,,,,
The Oud Advance EDP,"<h4 data-v-de649438="""">0</h4>","<span data-v-de649438="""">0 Ratings</span>",//assets.goldenscent.com/catalog/product/cache/1/small_image/750x750/9df78eab33525d08d6e5fb8d27136e95/6/2/6287012114701_-_the_oud_-_advance_-_100_ml_-_fd.png,250.0,The Oud,Unisex,Perfume,Sensual,Floral,100 ml,,Eau de Parfum,,,,,"Leather, Juniper Berries, Amber, Tonka Bean",,,,
Alonz Le Noir EDP,"<h4 data-v-de649438="""">0</h4>","<span data-v-de649438="""">0 Ratings</span>",//assets.goldenscent.com/catalog/product/9/7/9780208379646-alonz-le-noir.png,400.0,Alonz,Unisex,Perfume,Charismatic,Oriental,100 ml,,Eau de Parfum,"Cardamom, Cinnamon, Pink Pepper","Prince Grace, Woods, Styrax, Cedar Wood, Green Notes","Tahitian Vanilla, Peruvian Balsam, Musk",,"Cardamom, Cinnamon, Pink Pepper, Prince Grace, Woods, Styrax, Cedar Wood, Green Notes, Tahitian Vanilla, Peruvian Balsam, Musk",,,,
Salvador Dali Dalia More EDT,"<h4 data-v-de649438="""">0</h4>","<span data-v-de649438="""">0 Ratings</span>",//assets.goldenscent.com/catalog/product/3/3/3331438915039-salvador-dali-salvador-dali-dalia-more-_w_-edt-100-ml.png,249.0,Salvador Dali,Women,Perfume,Extravagant,Fruity,100 ml,2019,Eau de Toilette,"Sicilian Bergamot, Candy Apple, Pear","Raspberry, Passionflower, Red Rose","Crystal Amber, Musk",,"Alcohol Denat. (Sd Alcohol 39-c), Parfum (Fragrance), Aqua (Water), Diethylamino Hydroxybenzoyl Hexyl Benzoate, Ethylhexyl Methoxycinnamate, Ci 17 200 (D&c Red 33), Butylphenyl Methylpropional (Lilial), Citral, Citronellol, Hydroxycitronellal, Limonene, L",,,,
Shmeem Velvet Oud EDP,"<h4 data-v-de649438="""">0</h4>","<span data-v-de649438="""">0 Ratings</span>",//assets.goldenscent.com/catalog/product/cache/1/small_image/750x750/9df78eab33525d08d6e5fb8d27136e95/a/1/a1800008_-_shmeem_-_velvet_oud_-_100ml_-_fd.png,195.0,Shmeem,Unisex,Perfume,Natural,"Woody,Woody",100 ml,,Eau de Parfum,"Rose, Pink Pepper","Guaiac Wood, Patchouli","Oud, Amber, Sandalwood",,,,,,
L'Arc Balade Tiare De Tahiti,"<h4 data-v-de649438="""">0</h4>","<span data-v-de649438="""">0 Ratings</span>",//assets.goldenscent.com/catalog/product/cache/1/small_image/750x750/9df78eab33525d08d6e5fb8d27136e95/g/o/golden_scent_perfume_l_arc_perfumes_balade_tiare_de_tahiti_for_unisex_eau_de_perfum_3770007220028.jpg,874.0,L'Arc,Unisex,Perfume,Natural,Woody,100 ml,2013,Eau de Parfum,"Tangerine, rose, honeysuckle","Peonies, jasmine, tiaré","Sandalwood, musk, patchouli",,"Tangerine, rose, honeysuckle, Peonies, jasmine, tiaré, Sandalwood, musk, patchouli","White,Gold",,,
Burberry Brit Rhythm Floral,"<h4 data-v-de649438="""">4.7</h4>","<span data-v-de649438="""">84 Ratings</span>",//assets.goldenscent.com/catalog/product/b/u/burberry_brit_rhythm_floral_for_woman.jpg,158.0,Burberry,Women,Perfume,,"Floral,Woody",30 ml,,Eau de Toilette,,,,,"Jasmine, Wood, Musk",,,,
Mont Blanc Explorer Platinum EDP,"<h4 data-v-de649438="""">4.8</h4>","<span data-v-de649438="""">24 Ratings</span>",//assets.goldenscent.com/catalog/product/cache/1/small_image/750x750/9df78eab33525d08d6e5fb8d27136e95/3/3/3386460135818-montblanc-montblanc-explorer-platinum-eau-de-parfum_-100ml.png,345.0,Mont Blanc,Men,Perfume,Dynamic,Chypre,60 ml,2023,Eau de Parfum,"Violet Leaves, Grapefruit",Sage,Cedar,,,,,,
Victoria's Secret Very Sexy Night EDP,"<h4 data-v-de649438="""">4.9</h4>","<span data-v-de649438="""">11 Ratings</span>",//assets.goldenscent.com/catalog/product/6/6/667550121632-victoria_s-secret-victoria_s-secret-very-sexy-night-_w_-edp-50-ml.png,269.0,Victoria's Secret,Women,Perfume,Modern,Floral Oriental,50 ml,2019,Eau de Parfum,,,,,"Woods, apples, plums",,,,
Bottega Veneta Knot Eau Florale,"<h4 data-v-de649438="""">5.0</h4>","<span data-v-de649438="""">1 Ratings</span>",//assets.goldenscent.com/catalog/product/g/o/golden_scent_perfume_bottega_veneta_perfumes_knot_eau_florale_for_women_eau_de_perfum_3607343827843.jpg,485.0,Bottega Veneta,Women,Perfume,Sensual,Floral,50 ml,,Eau de Parfum,"Mandarin, Neroli, Lavender","Rose, Peony","Cedarwood, Tonka bean",,"Mandarin, Neroli, Lavender, Rose, Peony, Cedarwood, Tonka bean",,,,
Lattafa Oud Mood Reminiscence EDP,"<h4 data-v-de649438="""">5.0</h4>","<span data-v-de649438="""">2 Ratings</span>",//assets.goldenscent.com/catalog/product/cache/1/small_image/750x750/9df78eab33525d08d6e5fb8d27136e95/6/2/6291106068184-lattafa-oud-mood-reminiscence-by-lattafa-for-unisex---eau-de-parfum_-100ml-01.jpg,84.0,Lattafa,Unisex,Perfume,Natural,Woody,100 ml,,Eau de Parfum,"raspberries, oranges, saffron","amber, bay leaves, geraniums, camomile, lavender, cardamom, caramel, nutmeg","sandalwood, cedarwood, oakmoss, resins, vetiver, oud, vanilla, musk",,"raspberries, oranges, saffron, amber, bay leaves, geraniums, camomile, lavender, cardamom, caramel, nutmeg, sandalwood, cedarwood, oakmoss, resins, vetiver, oud, vanilla, musk",,,,
Initio Musk Therapy Extrait De Parfum,"<h4 data-v-de649438="""">5.0</h4>","<span data-v-de649438="""">2 Ratings</span>",//assets.goldenscent.com/catalog/product/cache/1/small_image/750x750/9df78eab33525d08d6e5fb8d27136e95/3/7/3701415900882_-_initio_-_initio_musk_therapy_extrait_de_parfum_-_90_ml_-_fd.png,1499.0,Initio,Unisex,Perfume,Dynamic,Citrus,90 ml,2021,Extrait de Parfum,"Bergamot, Mandarin, White Magnolia, Black Currant, White Sandalwood",White Musk,Pink Musk,,,,,,
Nishane Mana Extrait de Parfum,"<h4 data-v-de649438="""">0</h4>","<span data-v-de649438="""">0 Ratings</span>",//assets.goldenscent.com/catalog/product/8/6/8683608070235_-_nishane_-_nishane_mana_extrait_de_parfum_50_ml_-_50_ml.png,2573.0,Nishane,Unisex,Perfume,Natural,Woody,50 ml,2022,Eau de Parfum,"Black Pepper, Cardamom, Ginger, Saffron","Castor Oil, Turkish Rose, Swedish, Oud","Patchouli, Benzoin, Frankincense, Moss, Musk, Sandalwood, Labdanum, Guaiac Wood",,,,,,
Dolce & Gabbana The Only One,"<h4 data-v-de649438="""">4.9</h4>","<span data-v-de649438="""">433 Ratings</span>",//assets.goldenscent.com/catalog/product/cache/1/small_image/750x750/9df78eab33525d08d6e5fb8d27136e95/g/o/golden_scent_perfume_dolce_gabbana_perfumes_the_only_one_for_women.jpg,301.0,Dolce&Gabbana,Women,Perfume,Charismatic,Oriental,50 ml,2018,Eau de Parfum,"Bergamot, Violet, Orange","Coffee, Iris","Patchouli, Vanilla, Caramel.",,"Bergamot, Violet, Orange, Iris, Coffee, Pear, Rose, Orange Blossom, Patchouli, Vanilla, Caramel.",Pink,,,
The Harmonist Hypnotizing Fire Refill,"<h4 data-v-de649438="""">0</h4>","<span data-v-de649438="""">0 Ratings</span>",//assets.goldenscent.com/catalog/product/3/7/3760284780681-the-harmonist-harmonist-hypnotizing-fire-refill-parfum-1.jpg,900.0,The Harmonist,Unisex,Perfume,Modern,Floral Oriental,50 ml,2015,Parfum,"Pepper, pimento, cloves","Bulgarian rose, patchouli, praline","vanilla, benzoin, opoponax",,"Pepper, pimento, cloves, Bulgarian rose, patchouli, praline, vanilla, benzoin, opoponax",,,,
