الاسم,السعر النهائي,الماركة,الجنس,نوع المنتج,شخصية عطرك,العائلة العطرية,الحجم,المكونات,نسبة التركيز,مقدمة العطر,قلب العطر,قاعدة العطر,اللون,سنة الإصدار,Category,نوع المكياج,مفتاح البحث
كيليان أنجيلز شير أو دو برفيوم,1025,كيليان,نسائي,عطور,محبة للطبيعة,خشبية,50 مل,,أو دو برفيوم,كونياك,البلوط، حبوب التونكا، القرفة,أخشاب الصندل، الفانيليا، البرالين,,2020,,,
جان بول غوتييه لي ميل ألترا أو دو تواليت,555,جان بول غوتييه,رجالي,عطور,محبة للطبيعة,خشبية,125 مل,,أو دو تواليت,الليمون، البرجموت، النعناع، اللافندر، الكمثرى,الكراوية، المريمية، القرفة,أخشاب الأرز، الباتشولي، العنبر، قشر الفانيليا السوداء,,2015,,,
كاندي أديكت مارشميلو ماش أو دو برفيوم - 50 مل,70,كاندي أديكت,نسائي,عطور,أنثوية,حلوة,50 مل,الكحول، عطر، ماء، هيدروكسي سيترونيلال، بوتيل فينيل ميثيل بروبيونال، لينالول، د-ليمونين، بوتيل هيدروكسيتولوين، بولي إيثيلين جليكول ٤۰ زيت خروع مهدرج، بنزوات البنزيل، سينامات البنزيل، سيترال.,أو دو برفيوم,الخوخ,المارشيملو,الفانيليا,,2021,,,
شوبارد مسك ملكي,363,شوبارد,رجالي/نسائي,عطور,كلاسيكية,جلدية,80 مل,المسك، الفلفل الأسود، خشب الأرز، الجلود,أو دو برفيوم,المسك,الفلفل الأسود، خشب الأرز,الجلود,"فضي,بنفسجي",2017,عطور,,
مجموعة الغابة - 5 قطع,659,مجموعات حصرية,رجالي,مجموعات,,,,,,,,,,,,,
شانيل بلو دو شانيل أو دو برفيوم,882,شانيل,رجالي,عطور,جذابة,أروماتيك,150 مل,الليمون، الجريب فروت، الفلفل الوردي، البارغموت، الكزبرة، النعناع، الألدهيدات، شمام، الياسمين، زنجبيل، جوزه الطيب، عدان، الباتشولي، خشب الصندل، أخشاب الأرز، العنبر، البخور، أخشاب العنبر.,أو دو برفيوم,الليمون، الجريب فروت، الفلفل الوردي، البارغموت، الكزبرة، النعناع، الألدهيدات,الكزبرة، النعناع، الألدهيدات، شمام، الياسمين، زنجبيل، جوزه الطيب,عدان، الباتشولي، خشب الصندل، أخشاب الأرز، العنبر، البخور، أخشاب العنبر.,"أسود,أزرق",2010,عطور,موحد للبشرة,
بارفيوم دو مارلي فالايا أو دو برفيوم,1539,بارفيوم دو مارلي,نسائي,عطور,حسية,زهرية ناعمة,75 مل,,أو دو برفيوم,الألدهيدات، البرجموت، الماندرين، الخوخ الأبيض,الماهونيا، بيتاليا، نجيل الهند، زنبق الوادي، زهور البرتقال,أخشاب أكياجالا، الفانيليا، أمبروكسان، المسك,,2023,,,
كالفين كلاين اتيرنتي مومنت,227,كالفن كلاين,نسائي,عطور,حيوية,فاكهية,100 مل,البطيخ ، توت العليق ، الجوافة ، لاشي ، الفاوانيا ، الياسمين ، زنبق الماء ، زهرة العاطفة ، كشمير ، خشب الصندل ، المسك ، خشب الورد,أو دو برفيوم,البطيخ ، توت العليق ، الجوافة ، لاشي,الفوانيا، الياسمين ، زنبق الماء ، زهرة العاطفة,كشمير ، خشب الصندل ، المسك ، خشب الورد,,2004,عطور,,
مجموعة العائلة الحصرية - 6 قطع,499,مجموعات حصرية,رجالي/نسائي,مجموعات,,,,,,,,,,,,,
دولتشي آند غابانا ذا ون للرجال أو دو برفيوم,493,دولتشي آند غابانا,رجالي,عطور,محبة للطبيعة,خشبية,100 مل,الكزبرة، الريحان، الجريب فروت، الزنجبيل، زهر البرتقال، الهيل، التبغ، العنبر الحسي، خشب الأرز.,أو دو برفيوم,جريب فروت، كزبرة، ريحان,حب الهال، زنجبيل، زهر البرتقال,خشب الأرز، عنبر، تبغ,,2015,عطور,,
ديور ديور أوم بارفيوم,730,ديور,رجالي,عطور,جذابة,زهرية شرقية,100 مل,,برفيوم مركز,فلورنتين، السوسن، اللافندر,العنبر، الكمثرى,الأرز الفرجيني، نجيل الهند,,2020,,,
مجموعة ليلك ـ 4 قطع,769,مجموعات حصرية,نسائي,مجموعات,,,,,,,,,,,,,
ديور عود روزوود أو دو برفيوم,1672,ديور,رجالي/نسائي,عطور,كلاسيكية,عود,125 مل,,أو دو برفيوم,السفرجل، توت العليق,نوتات حيوانية، أخشاب الصندل,أخشاب الورد، العود,,2020,,,
بولغاري سبلينديدا جاسمين نوار,678,بولغاري,نسائي,عطور,حيوية,خضراء,100 مل,أوراق خضراء، زهرة الجاردينيا، الياسمين، خشب الصندل، الباتشولي، حبوب التونكا، كاشميران,أو دو برفيوم,أوراق خضراء، زهرة الجاردينيا,الياسمين، خشب الصندل,الباتشولي، حبوب التونكا، كاشميران,"أسود,ذهبي",2017,,,
كاندي أديكت مجموعة المسك الجديدة - 3 قطع,139,كاندي أديكت,رجالي/نسائي,مجموعات,,,,,,,,,,,,,
جاكوار كلاسيك بلاك,101,جاكوار,رجالي,عطور,جذابة,شرقية,100 مل,"ليتشي، برغموت، زهرة الفريسيا,هال، جوزة الطيب، شاي أسود,خشب الصندل، مسك أبيض، خشب الأرز",أو دو تواليت,تفاح أخضر، يوسفي، برتقال,هال، جوزة الطيب، شاي أسود,خشب الصندل، مسك أبيض، خشب الأرز,,2002,عطور,,
كريستيان ديور ميس ديور أو دو برفيوم - إصدار جديد,780,ديور,نسائي,عطور,جذابة,زهرية شرقية,100 مل,,أو دو برفيوم,زنبق الوادي، الفاونيا، السوسن,المشمش، الخوخ، الورد,أخشاب الصندل، البنزين، المسك، حبوب التونكا، الفانيليا,,2021,,,
بولغاري لو جيم تايجر,1995,بولغاري,رجالي,عطور,محبة للطبيعة,خشبية,100 مل,الأخشاب، الجريب فروت، أمبروكسان,أو دو برفيوم,,,,متعدد الألوان,2016,,,
ديور ميس ديور عطر للشعر,280,ديور,نسائي,عطر للشعر,راقية,زهرية,30 مل,الماندرين الإيطالي، الورد الدمشقي، العنبر الإندونيسي، الباتشولي,أو دو برفيوم,,,,,,,,
مجموعة الإمبراطورية,784,مجموعات حصرية,نسائي,مجموعات,,,,,,,,,,,,,
مقام الروح أو دو برفيوم,199,مقام,رجالي/نسائي,عطور,جذابة,شرقية,120 مل,دينات الكحول، عطر، ماء، هيدروكسي سيترونيلال، سيترونيلول، إيجينول، ألفا-أيزو ميثيل أيونون، بولي إيثيلين جليكول ٤۰ زيت خروع مهدرج، غيرانيول، إيزوجينول.,أو دو برفيوم,زعفران,ورد,مسك، خشب الصندل,,2020,,,
إليزابيث أردن آردن بيوتي,153,إليزابيث أردن,نسائي,عطور,حيوية,أروماتيك,100 مل,"كشمش أسود، فاكهة العاطفة، بطيخ، برتقال اليوسفي، غالبانوم، ليمون,زهرة الأوركيد، زنجبيل، راوند، زهرة اللوتس الزرقاء، زنبق, خشب الصندل الهندي، عنبر أبيض، مسك مثير",أو دو برفيوم,سوسن بودري، برغموت إيطالي نقي، زهرة الأرز، روائح أوراق الشجر الخضراء الندية,زهرة الأوركيد، زنجبيل، راوند، زهرة اللوتس الزرقاء، زنبق,خشب الصندل الهندي، عنبر أبيض، مسك مثير,"أبيض,أحمر",1999,,,
جيفنشي لانتيردي,446,جفنشي,نسائي,عطور,رومانسية,,50 مل,"برغموت، توت العلّيق، توت أحمر، ليمون,",أو دو برفيوم,,,,أبيض,2016,,,
نسوماتو بلاك أفجانو إكستريه دو برفيوم,655,ناسماتو,رجالي/نسائي,عطور,متألقة,خشبية,30 مل,القنب، روائح عشبية، الراتينجات، الأخشاب، القهوة، التبغ، البخور، العود.,إكستريت دو برفيوم,القنب، روائح عشبية,الراتينجات، الأخشاب، القهوة، التبغ,البخور، العود.,,,,,
إيلي صعب لو بارفيوم,477,ايلي صعب,نسائي,عطور,أنثوية,زهرية شرقية,50 مل,زهر البرتقال، الياسمين، الجنيفلوروم، السامباك، الأرز، الباتشولي، عسل الورد,أو دو برفيوم,زهر البرتقال,الياسمين،جرانديفلورم، سامباك,خشب الأرز، الباتشولي، عسل الورد,,2011,عطور,,
ذا فاينيست روز مجموعة هدايا بشريط أحمر - أو دو برفيوم 100 + عطر للشعر 30 مل,199,ذا فاينيست,رجالي/نسائي,مجموعة هدايا,رومانسية,مسك,,البرغموت، الخوخ، الأناناس، الورد البلغاري، الياسمين، الغاردينيا، زنبق الوادي، المسك، خشب الأرز، العنبر، التونكا,,البرغموت، الخوخ، الأناناس,الورد البلغاري، الياسمين، الجاردينيا، زنبق الوادي,المسك، خشب الأرز، العنبر، التونكا,,2023,,,
مونت بلانك ليجند,167,مونت بلانك,رجالي,عطور,جذابة,شرقية خشبية,50 مل,البرغموت، الخزامي، أزراق الأناناس، زهرة الفيربينا، طحلب السنديان، الغرنوقي، الكومارين، التفاح، ورد، جزيء بوماروزا (نفحات الفاكهة المجففة)، خشب الصندل، حبوب التونكا، رائحة طحلب السنديان (جزيء إيفيرنيل),أو دو تواليت,البرغموت، الخزامي، أزراق الأناناس، زهرة الفيربينا,طحلب السنديان، الغرنوقي، الكومارين، التفاح، ورد، جزيء بوماروزا (نفحات الفاكهة المجففة),خشب الصندل، حبوب التونكا، رائحة طحلب السنديان (جزيء إيفيرنيل),,2011,عطور,,
مجموعة عبق الربيع - 3 قطع,1389,مجموعات حصرية,نسائي,مجموعات,,,,,,,,,,,,,
دولتشي أند غابانا بور فيم,547,دولتشي آند غابانا,نسائي,عطور,رومانسية,زهرية,100 مل,زهر البرتقال، توت العليق، اليوسفي، الياسمين، زهر البرتقال، المارشميلو، الفانيليا، خشب الصندل، الهيلوتروب.,أو دو برفيوم,زهر البرتقال، توت العليق، اليوسفي,ياسمين، زهر البرتقال,حلوى خمطية، فانيليا، رقيب الشمس، خشب الصندل,,1992,عطور,,
زيرجوف ناكسوس أو دو برفيوم,1270,زيرجوف,رجالي/نسائي,عطور,جذابة,شرقية,100 مل,,أو دو برفيوم,الليمون، البرجموت، اللافندر,ياسمين سمباك، كشميران، القرفة، العسل,الفانيليا، حبوب التونكا، التبغ,,2015,,,
